dmf20211105_98345514	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	1	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 		9000000	labour 	2	10000000	lifestyle and leisure 	4	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	3	17000000	weather 		NONE
dmf20211114_96039345	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 	2	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	1	17000000	weather 		NONE
dmf20211117_98139505	TOPIC	1000000	arts, culture, entertainment and media 	1	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	5	5000000	education 		6000000	environment 		7000000	health 	3	8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 	4	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
85c8de3	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 	1	3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	3	15000000	sport 		17000000	weather 		NONE
dmf20211111_94802996	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	2	15000000	sport 	3	17000000	weather 		NONE
2c35af6	TOPIC	1000000	arts, culture, entertainment and media 	2	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 	3	8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211127_93734836	TOPIC	1000000	arts, culture, entertainment and media 	5	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 	1	6000000	environment 		7000000	health 	3	8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 	4	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211118_93022927	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 	2	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	1	17000000	weather 		NONE
dmf20211111_96353532	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 	4	8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 	2	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	1	17000000	weather 		NONE
dmf20211109_93683155	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 	1	4000000	economy, business and finance 		5000000	education 		6000000	environment 	2	7000000	health 	5	8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 	4	NONE
0	TOPIC	1000000	arts, culture, entertainment and media 	1	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 		9000000	labour 		10000000	lifestyle and leisure 	2	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
8.58E+86	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	1	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 	2	10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211112_96130316	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 	2	4000000	economy, business and finance 		5000000	education 		6000000	environment 	1	7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211119_95832171	TOPIC	1000000	arts, culture, entertainment and media 	1	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	2	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211118_94538081	TOPIC	1000000	arts, culture, entertainment and media 	2	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 	1	6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
b27a1a4	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 	1	7000000	health 		8000000	human interest 	4	9000000	labour 		10000000	lifestyle and leisure 	3	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	2	17000000	weather 		NONE
dmf20211105_96076315	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 	1	7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	3	12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
1637437783032	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	2	5000000	education 		6000000	environment 	3	7000000	health 		8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 	4	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211119_95364864	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 	1	2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	3	12000000	religion 		13000000	science and technology 		14000000	society 	4	15000000	sport 		17000000	weather 		NONE
1637249807362	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	2	12000000	religion 		13000000	science and technology 		14000000	society 	3	15000000	sport 		17000000	weather 		NONE
cf04506	TOPIC	1000000	arts, culture, entertainment and media 	1	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	3	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 	4	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211121_96740684	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 	1	3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2		labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211128_95018290	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	2	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	3	15000000	sport 		17000000	weather 		NONE
dmf20211126_97387505	TOPIC	1000000	arts, culture, entertainment and media 	2	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	3	5000000	education 		6000000	environment 		7000000	health 	5	8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	4	15000000	sport 		17000000	weather 		NONE
dmf20211124_96582324	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 	2	4000000	economy, business and finance 		5000000	education 		6000000	environment 	3	7000000	health 		8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 	4	NONE
dmf20211121_93828354	TOPIC	1000000	arts, culture, entertainment and media 	1	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211116_94568265	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 	1	4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211123_97515143	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	2	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 	1	10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
2ccf227	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 	1	4000000	economy, business and finance 	3	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	4	9000000	labour 	2	10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
031ee2f	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 	4	7000000	health 		8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	2	12000000	religion 		13000000	science and technology 		14000000	society 	3	15000000	sport 		17000000	weather 		NONE
dmf20211116_95964576	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 	1	3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211107_93433707	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 	1	4000000	economy, business and finance 		5000000	education 		6000000	environment 	2	7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 	4	NONE
dmf20211109_93549458	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	1	17000000	weather 		NONE
dmf20211115_95463536	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	2	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211124_93619432	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 	1	8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	2	12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211124_97052699	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 	1	4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 		9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 	2	14000000	society 	3	15000000	sport 		17000000	weather 		NONE
dmf20211118_91925789	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 	1	4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 	2	8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	4	15000000	sport 		17000000	weather 		NONE
dmf20211114_97983272	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	4	9000000	labour 		10000000	lifestyle and leisure 	3	11000000	politics 	1	12000000	religion 		13000000	science and technology 		14000000	society 	5	15000000	sport 	1	17000000	weather 		NONE
dmf20211121_94927589	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 	1	3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 	2	8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
3f1e325	TOPIC	1000000	arts, culture, entertainment and media 	2	16000000	conflict, war and peace 	1	2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 	5	13000000	science and technology 		14000000	society 	4	15000000	sport 		17000000	weather 		NONE
09fb25e	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	3	5000000	education 	2	6000000	environment 		7000000	health 		8000000	human interest 		9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	1	15000000	sport 	4	17000000	weather 		NONE
dmf20211116_91135783	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	4	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	3	12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	1	17000000	weather 		NONE
dmf20211116_94979542	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 	1	6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	3	15000000	sport 		17000000	weather 		NONE
dmf20211109_94479239	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 	1	3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 	4	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	3	15000000	sport 		17000000	weather 		NONE
dmf20211126_96092825	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	4	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	2	15000000	sport 	1	17000000	weather 		NONE
dmf20211126_95167212	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 	4	11000000	politics 	1	12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	2	17000000	weather 		NONE
ffec87e	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	2	5000000	education 		6000000	environment 		7000000	health 	1	8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	4	15000000	sport 		17000000	weather 		NONE
7d01172	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 	4	6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	1	12000000	religion 		13000000	science and technology 		14000000	society 	2	15000000	sport 		17000000	weather 		NONE
dmf20211128_96740940	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	1	5000000	education 		6000000	environment 		7000000	health 	3	8000000	human interest 	4	9000000	labour 	2	10000000	lifestyle and leisure 	5	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211126_93387735	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	1	12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
c9b9021c	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 		9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	3	12000000	religion 		13000000	science and technology 		14000000	society 	2	15000000	sport 		17000000	weather 		NONE
dmf20211115_97278203	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	1	17000000	weather 		NONE
dmf20211123_95844296	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 	1	4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 	3	8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211124_94311884	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 	1	4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
f14e26c	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 	2	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	1	17000000	weather 		NONE
dmf20211115_95626627	TOPIC	1000000	arts, culture, entertainment and media 	4	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	2	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 	3	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
ca0e044	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 	1	2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 	3	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211109_95459069	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 	2	3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	4	5000000	education 		6000000	environment 		7000000	health 	1	8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211115_94823053	TOPIC	1000000	arts, culture, entertainment and media 	2	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 	4	6000000	environment 		7000000	health 		8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 	4	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
90f5a58	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	2	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 	1	10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211111_97451224	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 	5	2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	4	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	1	12000000	religion 		13000000	science and technology 		m+AV6598edtop:14000000 	society 	2	15000000	sport 		17000000	weather 		NONE
dmf20211112_93646710	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 	1	8000000	human interest 	4	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	2	12000000	religion 		13000000	science and technology 		14000000	society 	3	15000000	sport 		17000000	weather 		NONE
dmf20211114_95146767	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 	4	3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	1	12000000	religion 		13000000	science and technology 		14000000	society 	2	15000000	sport 		17000000	weather 		NONE
dmf20211121_97586433	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 	4	2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	5	12000000	religion 	1	13000000	science and technology 		14000000	society 	2	15000000	sport 		17000000	weather 		NONE
dmf20211124_97940680	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 	2	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	1	17000000	weather 		NONE
8c2678e	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 	3	4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 	4	8000000	human interest 	5	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	2	12000000	religion 		13000000	science and technology 		14000000	society 	1	15000000	sport 		17000000	weather 		NONE
611a327	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 	1	4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 	2	8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211112_97048304	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	2	12000000	religion 		13000000	science and technology 		14000000	society 	3	15000000	sport 		17000000	weather 		NONE
